en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
Abidjan,阿比让,阿必尚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Accra,阿克拉,阿克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
ACT,澳大利亚首都特区,澳大利亞首都特區,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Adak,埃达克,埃達克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Addis Ababa,亚的斯亚贝巴,阿迪斯阿貝巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Adelaide,阿德莱德,阿得雷德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aden,亚丁,亞頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Algiers,阿尔及尔,阿爾及爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Almaty,阿拉木图,阿馬提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
America,美国,美洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Amman,安曼,安曼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Amsterdam,阿姆斯特丹,阿姆斯特丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Anadyr,阿纳德尔,阿納底,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Anchorage,安克雷奇,安克拉治,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Andorra,安道尔,安道爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Anguilla,安圭拉,安圭拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antananarivo,塔那那利佛,安塔那那利佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antarctica,南极洲,南極洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Antigua,安提瓜,安地卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Apia,阿皮亚,亞庇,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aqtau,阿克陶,阿克陶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aqtobe,阿克托贝,阿克托比,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Araguaina,阿拉瓜纳,阿拉瓜伊納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Arctic,北极,北極,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Argentina,阿根廷,阿根廷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Aruba,阿鲁巴,阿路巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ashgabat,阿什哈巴德,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ashkhabad,阿什哈巴德,阿什哈巴德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asia,亚洲,亞洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asmara,阿斯马拉,阿斯馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Asmera,阿斯马拉,阿斯馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Astrakhan,阿斯特拉罕,阿斯特拉罕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
