en,zh-cn,zh-tw,pos,description
Afghan afghani,阿富汗阿富汗尼,阿富汗阿富汗尼,noun,货币名称
Albanian lek,阿尔巴尼亚列克,阿爾巴尼亞列克,noun,货币名称
Algerian dinar,阿尔及利亚第纳尔,阿爾及利亞第納爾,noun,货币名称
Angolan kwanza,安哥拉宽扎,安哥拉寬扎,noun,货币名称
Argentine peso,阿根廷比绍,阿根廷披索,noun,货币名称
Armenian dram,亚美尼亚德拉姆,亞美尼亞德拉姆,noun,货币名称
Aruban florin,阿鲁巴弗罗林,阿魯巴弗羅林,noun,货币名称
Australian dollar,澳元,澳元,noun,货币名称
Azerbaijani manat,阿塞拜疆马纳特,亞塞拜然馬納特,noun,货币名称
Bahamian dollar,巴哈马元,巴哈馬元,noun,货币名称
Bahraini dinar,巴林第纳尔,巴林戴納,noun,货币名称
Bangladeshi taka,孟加拉国塔卡,孟加拉塔卡,noun,货币名称
Barbadian dollar,巴巴多斯元,巴貝多元,noun,货币名称
Belarusian ruble,白俄罗斯卢布,白羅斯盧布,noun,货币名称
Belarusian ruble (old),白俄罗斯卢布（旧）,白羅斯盧布 (舊幣),noun,货币名称
Belize dollar,伯利兹元,貝里斯元,noun,货币名称
Bermudian dollar,百慕大元,百慕達元,noun,货币名称
Bhutanese ngultrum,不丹努尔特鲁姆,不丹努爾特魯姆,noun,货币名称
Bitcoin,比特币,比特幣,noun,货币名称
Bolivian boliviano,玻利维亚币,玻利維亞諾,noun,货币名称
Bosnia and Herzegovina convertible mark,波斯尼亚和黑塞哥维那可兑换马克,波士尼亞與赫塞哥維納可兌換馬克,noun,货币名称
Botswana pula,博茨瓦纳普拉,波札那普拉,noun,货币名称
Brazilian real,巴西雷亚尔,巴西雷亞爾,noun,货币名称
Brunei dollar,文莱元,汶萊元,noun,货币名称
Bulgarian lev,保加利亚列弗,保加利亞列弗,noun,货币名称
Burmese kyat,缅元,緬元,noun,货币名称
Burundian franc,布隆迪法郎,蒲隆地法郎,noun,货币名称
Cambodian riel,柬埔寨瑞尔,柬埔寨瑞爾,noun,货币名称
Canadian dollar,加元,加拿大元,noun,货币名称
Cape Verdean escudo,佛得角埃斯库多,維德角埃斯庫多,noun,货币名称
Cayman Islands dollar,开曼群岛元,開曼群島元,noun,货币名称
Central African CFA franc,中非法郎,中非法郎,noun,货币名称
CFP franc,太平洋法郎,太平洋法郎,noun,货币名称
Chilean peso,智利比绍,智利披索,noun,货币名称
Chinese yuan,人民币,中國人民幣,noun,货币名称
Colombian peso,哥伦比亚比绍,哥倫比亞披索,noun,货币名称
Comorian franc,科摩罗法郎,葛摩法郎,noun,货币名称
Congolese franc,刚果法郎,剛果法郎,noun,货币名称
Costa Rican col&oacute;n,哥斯达黎加科隆,哥斯大黎加科郎,noun,货币名称
Croatian kuna,克罗地亚库纳,克羅埃西亞庫納,noun,货币名称
Cuban convertible peso,古巴可兑换比绍,古巴可兌換披索,noun,货币名称
Cuban peso,古巴比绍,古巴披索,noun,货币名称
Czech koruna,捷克克朗,捷克克朗,noun,货币名称
Danish krone,丹麦克朗,丹麥克朗,noun,货币名称
Djiboutian franc,吉布提法郎,吉布地法郎,noun,货币名称
Dominican peso,多米尼加比绍,多明尼加披索,noun,货币名称
East Caribbean dollar,东加勒比元,東加勒比元,noun,货币名称
