Abkhazian,阿布哈兹语,亞布卡薩文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Afar,阿法尔,阿法文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Afrikaans,南非荷兰语,南非荷蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Akan,阿寒语,阿寒文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Albanian,阿尔巴尼亚语,阿爾巴尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Amharic,阿姆哈拉语,阿姆哈拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Arabic,阿拉伯语,阿拉伯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aragonese,阿拉贡语,亞拉岡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Armenian,亚美尼亚语,亞美尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Assamese,阿萨姆语,阿薩姆文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Avaric,阿瓦里克,阿瓦爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Avestan,阿维斯坦语,阿維斯塔文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Aymara,艾马拉语,艾馬拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,阿塞拜疆语,亞塞拜然文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bambara,班巴拉语,班巴拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bashkir,巴什基尔语,巴什喀爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Basque,巴斯克语,巴斯克文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Belarusian,白俄罗斯语,白羅斯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bengali,孟加拉国语,孟加拉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bengali (Bangladesh),孟加拉国语（孟加拉国）,孟加拉文 (孟加拉),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bihari,比哈里语,比哈文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bislama,比斯拉马语,比斯拉馬文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bosnian,波斯尼亚语,波士尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Breton,布列塔尼,布里敦文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Bulgarian,保加利亚语,保加利亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Burmese,缅甸语,緬甸文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Cambodian,柬埔寨语,柬埔寨文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Catalan,加泰罗尼亚语,加泰羅尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Cebuano,宿务语,宿霧文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Central Kurdish,中库尔德语,中部庫德文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chamorro,查莫罗语,查莫羅文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chechen,车臣语,車臣文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chichewa,齐切瓦语,齊切瓦文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese,中文,中文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (China),中文 (中国),中文 (中國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (Hong Kong),中文 (香港),中文 (香港),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (Taiwan),中文 (中国),中文 (台灣),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Church Slavic,古教会斯拉夫语,古教會斯拉夫文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chuvash,楚瓦什语,楚瓦什文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
CJK Decimal,中日韩文小数,中日韓文小數,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
CJK Ideographic,中日韩表意字符,中日韓表意字元,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Cornish,康沃尔语,康沃耳文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Corsican,科西嘉语,科西嘉文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Cree,克里语,克里文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Croatian,克罗地亚语,克羅埃西亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Czech,捷克语,捷克文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Danish,丹麦语,丹麥文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dhivehi,迪维希语,迪培希文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Divehi,迪维希语,迪維西文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch,荷兰语,荷蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Belgium),荷兰语（比利时）,荷蘭文 (比利時),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Formal),荷兰语（正式）,荷蘭文 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dzongkha,宗卡语,宗卡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English,英语,英文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Australia),英语（澳大利亚）,英文 (澳大利亞),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Canada),英语（加拿大）,英文 (加拿大),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (New Zealand),英语（新西兰）,英文 (紐西蘭),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (South Africa),英语（南非）,英文 (南非),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (UK),英语（英国）,英文 (英國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (United States),美国英语）,英文 (美國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Esperanto,世界语,世界文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Estonian,爱沙尼亚语,愛沙尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ethiopic,埃塞俄比亚,衣索比亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ewe,埃维语,埃維文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Faroese,法罗语,法羅文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Fijian,斐济语,斐濟文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Finnish,芬兰语,芬蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French,法语,法文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
